method,n,n_retrievable,n_citation_scored,accuracy,accuracy_ci_low,accuracy_ci_high,citation_accuracy,citation_ci_low,citation_ci_high,citation_unparsed_rate,citations_per_answer,act_scope_hit_rate,grounded_rate,gold_in_corpus_rate,gold_in_context_rate,median_depth_returned,mrr,mrr*,mrr_doc,mrr_doc*,recall@1,recall@1*,precision@1,precision@1*,hit@1,hit@1*,doc_hit@1,doc_hit@1*,recall@3,recall@3*,precision@3,precision@3*,hit@3,hit@3*,doc_hit@3,doc_hit@3*,recall@5,recall@5*,precision@5,precision@5*,hit@5,hit@5*,doc_hit@5,doc_hit@5*,recall@10,recall@10*,precision@10,precision@10*,hit@10,hit@10*,doc_hit@10,doc_hit@10*,recall@20,recall@20*,precision@20,precision@20*,hit@20,hit@20*,doc_hit@20,doc_hit@20*,recall@50,recall@50*,precision@50,precision@50*,hit@50,hit@50*,doc_hit@50,doc_hit@50*,recall@100,recall@100*,precision@100,precision@100*,hit@100,hit@100*,doc_hit@100,doc_hit@100*,ndcg@10,ndcg@10*,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q,errors,citation_gap_closed
bm25-raw,150,133,133,0.9533333333333334,0.9068124260764262,0.9772137410981222,0.706766917293233,0.6244650873638766,0.7774594735883483,0.045112781954887216,0.96,,0.8867,0.8867,0.64,100,0.6163,0.6673,0.7882,0.8533,0.5613,0.6078,0.5694,0.6165,0.5694,0.6165,0.75,0.812,0.6377,0.6905,0.2153,0.2331,0.6458,0.6992,0.8194,0.8872,0.6516,0.7055,0.1319,0.1429,0.6597,0.7143,0.8264,0.8947,0.6655,0.7206,0.0674,0.0729,0.6736,0.7293,0.8403,0.9098,0.7106,0.7694,0.0365,0.0395,0.7153,0.7744,0.8403,0.9098,0.7593,0.8221,0.0156,0.0168,0.7639,0.8271,0.8611,0.9323,0.7778,0.8421,0.0081,0.0087,0.7778,0.8421,0.8681,0.9398,0.6207,0.672,747,1056,26,1,4332,49,0.116,0,0.6316
dense-rephrased,150,133,133,0.9466666666666667,0.8982949952532904,0.9727307871098675,0.6917293233082706,0.6087883143608855,0.7639053694311776,0.05263157894736842,0.9533,,0.8333,0.8867,0.64,35,0.5222,0.5653,0.7189,0.7784,0.4468,0.4837,0.4514,0.4887,0.4514,0.4887,0.6667,0.7218,0.5544,0.6003,0.1875,0.203,0.5625,0.609,0.7778,0.8421,0.6204,0.6717,0.1264,0.1368,0.625,0.6767,0.7917,0.8571,0.6644,0.7193,0.0681,0.0737,0.6667,0.7218,0.7986,0.8647,0.6887,0.7456,0.0354,0.0383,0.6944,0.7519,0.7986,0.8647,0.706,0.7644,0.0146,0.0158,0.7083,0.7669,0.7986,0.8647,0.706,0.7644,0.0073,0.0079,0.7083,0.7669,0.7986,0.8647,0.5525,0.5982,1866,2216,1155,2,4656,260,0.155,0,0.5789
no-analysis,150,133,133,0.9266666666666666,0.873463014734016,0.9585616131949707,0.6616541353383458,0.5777099539192391,0.7365219755525004,0.045112781954887216,0.92,,0.74,0.8867,0.64,100,0.6122,0.6628,0.8193,0.8871,0.5694,0.6165,0.5764,0.6241,0.5764,0.6241,0.8125,0.8797,0.6285,0.6805,0.213,0.2306,0.6319,0.6842,0.8264,0.8947,0.6493,0.703,0.1319,0.1429,0.6528,0.7068,0.8264,0.8947,0.6632,0.718,0.0674,0.0729,0.6667,0.7218,0.8264,0.8947,0.6701,0.7256,0.034,0.0368,0.6736,0.7293,0.8333,0.9023,0.6771,0.7331,0.0138,0.0149,0.6806,0.7368,0.8472,0.9173,0.7234,0.7832,0.0074,0.008,0.7292,0.7895,0.8472,0.9173,0.6221,0.6735,8990,13422,8288,2,7205,88,0.193,0,0.4737
dense,150,133,133,0.9066666666666666,0.8494348221544131,0.9435886513404022,0.6691729323308271,0.5854461891080122,0.7434011789438083,0.10526315789473684,0.9067,,0.7933,0.8867,0.6267,33,0.5262,0.5697,0.7283,0.7886,0.4537,0.4912,0.4583,0.4962,0.4583,0.4962,0.7014,0.7594,0.5613,0.6078,0.1898,0.2055,0.5694,0.6165,0.75,0.812,0.6134,0.6642,0.125,0.1353,0.6181,0.6692,0.7639,0.8271,0.6516,0.7055,0.0667,0.0722,0.6597,0.7143,0.7847,0.8496,0.6759,0.7318,0.0347,0.0376,0.6806,0.7368,0.7847,0.8496,0.6852,0.7419,0.0142,0.0153,0.6875,0.7444,0.7847,0.8496,0.6852,0.7419,0.0071,0.0077,0.6875,0.7444,0.7847,0.8496,0.5529,0.5986,733,1064,48,1,4090,49,0.11,0,0.5
bm25-expanded,150,133,133,0.9666666666666667,0.9243471574929044,0.9856797793044249,0.6992481203007519,0.6166148612234348,0.7706942611487094,0.03007518796992481,0.9733,,0.8667,0.8867,0.6133,100,0.5247,0.5681,0.7418,0.8032,0.4433,0.4799,0.4514,0.4887,0.4514,0.4887,0.6736,0.7293,0.5613,0.6078,0.1898,0.2055,0.5694,0.6165,0.8056,0.8722,0.5891,0.6378,0.1194,0.1293,0.5972,0.6466,0.8264,0.8947,0.6447,0.698,0.066,0.0714,0.6528,0.7068,0.8472,0.9173,0.6817,0.7381,0.0351,0.038,0.6875,0.7444,0.8472,0.9173,0.7407,0.802,0.0153,0.0165,0.7431,0.8045,0.8542,0.9248,0.7755,0.8396,0.008,0.0086,0.7778,0.8421,0.8542,0.9248,0.5457,0.5909,1888,2234,1178,2,5074,261,0.166,0,0.6053
bm25-surrogate,150,133,133,0.9266666666666666,0.873463014734016,0.9585616131949707,0.6691729323308271,0.5854461891080122,0.7434011789438083,0.03007518796992481,0.9667,,0.7267,0.8867,0.6133,100,0.4828,0.5227,0.7796,0.844,0.3924,0.4248,0.3958,0.4286,0.3958,0.4286,0.7431,0.8045,0.5382,0.5827,0.1806,0.1955,0.5417,0.5865,0.7986,0.8647,0.5868,0.6353,0.1181,0.1278,0.5903,0.6391,0.8403,0.9098,0.6273,0.6792,0.0639,0.0692,0.6389,0.6917,0.8403,0.9098,0.6759,0.7318,0.0344,0.0372,0.6875,0.7444,0.8472,0.9173,0.7072,0.7657,0.0144,0.0156,0.7153,0.7744,0.8472,0.9173,0.7512,0.8133,0.0077,0.0083,0.7569,0.8195,0.8472,0.9173,0.5125,0.5549,680,941,10,1,3560,50,0.097,0,0.5
no-rerank,150,133,133,0.8866666666666667,0.8259959574322895,0.9280263616283547,0.6616541353383458,0.5777099539192391,0.7365219755525004,0.06766917293233082,0.9067,,0.6933,0.8867,0.6,100,0.4887,0.5291,0.7304,0.7908,0.4167,0.4511,0.4167,0.4511,0.4167,0.4511,0.6944,0.7519,0.5127,0.5551,0.1759,0.1905,0.5208,0.5639,0.75,0.812,0.5683,0.6153,0.1167,0.1263,0.5764,0.6241,0.7639,0.8271,0.6169,0.6679,0.0632,0.0684,0.625,0.6767,0.8056,0.8722,0.6725,0.7281,0.0344,0.0372,0.6806,0.7368,0.8264,0.8947,0.7211,0.7807,0.0147,0.0159,0.7292,0.7895,0.8264,0.8947,0.735,0.7957,0.0075,0.0081,0.7431,0.8045,0.8403,0.9098,0.5137,0.5562,7272,13283,6467,2,4233,260,0.145,0,0.4737
dense-surro-rescore,150,133,133,0.88,0.8182903386460475,0.9227315956032063,0.6466165413533834,0.5623020269501778,0.7226990253613998,0.11278195488721804,0.8933,,0.7667,0.8867,0.5867,33,0.4484,0.4855,0.717,0.7763,0.3773,0.4085,0.3819,0.4135,0.3819,0.4135,0.6875,0.7444,0.4572,0.495,0.1551,0.1679,0.4653,0.5038,0.7431,0.8045,0.5162,0.5589,0.1056,0.1143,0.5278,0.5714,0.7639,0.8271,0.61,0.6604,0.0625,0.0677,0.6181,0.6692,0.7639,0.8271,0.6759,0.7318,0.0347,0.0376,0.6806,0.7368,0.7847,0.8496,0.6852,0.7419,0.0142,0.0153,0.6875,0.7444,0.7847,0.8496,0.6852,0.7419,0.0071,0.0077,0.6875,0.7444,0.7847,0.8496,0.4795,0.5192,728,902,36,1,3925,48,0.105,0,0.4211
oracle-doc,150,133,133,0.76,0.6857071477257107,0.8213078599185155,0.43609022556390975,0.3547766954942368,0.5209920765750753,0.12781954887218044,0.8067,,0.0933,0.8867,0.0333,100,0.0252,0.0273,1,1,0.0023,0.0025,0.0069,0.0075,0.0069,0.0075,1,1,0.0231,0.0251,0.0093,0.01,0.0278,0.0301,1,1,0.0231,0.0251,0.0056,0.006,0.0278,0.0301,1,1,0.037,0.0401,0.0042,0.0045,0.0417,0.0451,1,1,0.0718,0.0777,0.0038,0.0041,0.0764,0.0827,1,1,0.2037,0.2206,0.0042,0.0045,0.2083,0.2256,1,1,0.331,0.3584,0.0034,0.0037,0.3333,0.3609,1,1,0.019,0.0206,671,966,3,1,3749,46,0.101,0,-0.3158
closed-book,150,133,133,0.9266666666666666,0.873463014734016,0.9585616131949707,0.5263157894736842,0.4419143733850908,0.6092396616451923,0,1,,0.9933,0.8867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,894,0,1,295,44,0.014,0,0
random,150,133,133,0.72,0.6433420194970179,0.7856706792788659,0.2932330827067669,0.22254052641165156,0.37553491263612326,0.5864661654135338,0.3867,,0,0.8867,0,100,0.0001,0.0001,0.045,0.0485,0,0,0,0,0,0,0.0208,0.0226,0,0,0,0,0,0,0.0417,0.0451,0,0,0,0,0,0,0.0486,0.0526,0,0,0,0,0,0,0.0764,0.0827,0,0,0,0,0,0,0.1458,0.1579,0,0,0,0,0,0,0.2847,0.3008,0.0069,0.0075,0.0001,0.0001,0.0069,0.0075,0.4306,0.4586,0,0,687,1065,0,1,4884,40,0.128,0,-0.8158
