method,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q
oracle,636,864,0,1,660,47,0.024
full-hybrid,8053,13990,7248,3,7326,299,0.228
triad,853,1090,102,1,4043,49,0.108
rrf,838,1256,90,1,4205,50,0.113
dense-surro-rrf,753,980,42,1,3918,50,0.105
dense-prf,750,949,56,1,3919,49,0.105
bm25-lemma,752,986,41,1,4389,49,0.117
full,8136,13985,7432,3,7472,301,0.232
no-covers,5724,7944,5018,3,7476,300,0.232
no-concepts,7342,12025,6595,3,7407,299,0.23
bm25-raw,747,1056,26,1,4332,49,0.116
dense-rephrased,1866,2216,1155,2,4656,260,0.155
no-analysis,8990,13422,8288,2,7205,88,0.193
dense,733,1064,48,1,4090,49,0.11
bm25-expanded,1888,2234,1178,2,5074,261,0.166
bm25-surrogate,680,941,10,1,3560,50,0.097
no-rerank,7272,13283,6467,2,4233,260,0.145
dense-surro-rescore,728,902,36,1,3925,48,0.105
oracle-doc,671,966,3,1,3749,46,0.101
closed-book,687,894,0,1,295,44,0.014
random,687,1065,0,1,4884,40,0.128
