method,n,n_retrievable,accuracy,citation_accuracy,recall@10*,mrr*,ndcg@10*,gold_in_context_rate,errors
dense-rephrased,150,131,0.9466666666666667,0.7251908396946565,0.7405,0.596,0.6292,0.6533,0
dense,150,131,0.94,0.6793893129770993,0.7137,0.6107,0.6337,0.6267,0
