method,n,n_retrievable,n_citation_scored,accuracy,accuracy_ci_low,accuracy_ci_high,citation_accuracy,citation_ci_low,citation_ci_high,citation_unparsed_rate,citations_per_answer,act_scope_hit_rate,grounded_rate,gold_in_corpus_rate,gold_in_context_rate,median_depth_returned,mrr,mrr*,mrr_doc,mrr_doc*,recall@1,recall@1*,precision@1,precision@1*,hit@1,hit@1*,doc_hit@1,doc_hit@1*,recall@3,recall@3*,precision@3,precision@3*,hit@3,hit@3*,doc_hit@3,doc_hit@3*,recall@5,recall@5*,precision@5,precision@5*,hit@5,hit@5*,doc_hit@5,doc_hit@5*,recall@10,recall@10*,precision@10,precision@10*,hit@10,hit@10*,doc_hit@10,doc_hit@10*,recall@20,recall@20*,precision@20,precision@20*,hit@20,hit@20*,doc_hit@20,doc_hit@20*,recall@50,recall@50*,precision@50,precision@50*,hit@50,hit@50*,doc_hit@50,doc_hit@50*,recall@100,recall@100*,precision@100,precision@100*,hit@100,hit@100*,doc_hit@100,doc_hit@100*,ndcg@10,ndcg@10*,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q,errors
dense-rephrased,150,131,131,0.9466666666666667,0.8982949952532904,0.9727307871098675,0.7251908396946565,0.6431521274281902,0.7943983021128417,0.03816793893129771,0.9533,,0.8667,0.8733,0.6533,34,0.546,0.596,0.7477,0.8085,0.4685,0.5115,0.4685,0.5115,0.4685,0.5115,0.7273,0.7863,0.5944,0.6489,0.2005,0.2188,0.6014,0.6565,0.7622,0.8244,0.6469,0.7061,0.1315,0.1435,0.6503,0.7099,0.7692,0.8321,0.6783,0.7405,0.0692,0.0756,0.6853,0.7481,0.7762,0.8397,0.7098,0.7748,0.0364,0.0397,0.7133,0.7786,0.7762,0.8397,0.7238,0.7901,0.0148,0.0162,0.7273,0.7939,0.7762,0.8397,0.7238,0.7901,0.0074,0.0081,0.7273,0.7939,0.7762,0.8397,0.5764,0.6292,1800,2173,1120,2,4672,263,0.156,0
dense,150,131,131,0.94,0.8899090795570952,0.9681163179946722,0.6793893129770993,0.5953372121469508,0.7532199096908203,0.06870229007633588,0.92,,0.84,0.8733,0.6267,33,0.5595,0.6107,0.709,0.7664,0.5,0.5458,0.5035,0.5496,0.5035,0.5496,0.6853,0.7405,0.6014,0.6565,0.2028,0.2214,0.6084,0.6641,0.7343,0.7939,0.6329,0.6908,0.1287,0.1405,0.6364,0.6947,0.7483,0.8092,0.6538,0.7137,0.0664,0.0725,0.6573,0.7176,0.7483,0.8092,0.6573,0.7176,0.0336,0.0366,0.6573,0.7176,0.7552,0.8168,0.6853,0.7481,0.014,0.0153,0.6853,0.7481,0.7552,0.8168,0.6853,0.7481,0.007,0.0076,0.6853,0.7481,0.7552,0.8168,0.5806,0.6337,732,1101,44,1,3946,48,0.106,0
