method,recall@1*,recall@5*,recall@10*,recall@20*,recall@50*,recall@100*,hit@10*,doc_hit@10*,mrr*,ndcg@10*,median_depth_returned
full-hybrid,0.6767,0.7619,0.807,0.8221,0.8446,0.8697,0.812,0.9023,0.7295,0.7453,100
full,0.6165,0.713,0.7281,0.7431,0.7807,0.7957,0.7368,0.8722,0.6702,0.6787,100
no-covers,0.5965,0.698,0.7281,0.7281,0.7281,0.7682,0.7368,0.8647,0.6546,0.6674,100
no-concepts,0.6642,0.7206,0.7281,0.7356,0.7657,0.8258,0.7368,0.8947,0.7025,0.7023,100
no-analysis,0.6165,0.703,0.718,0.7256,0.7331,0.7832,0.7218,0.8947,0.6628,0.6735,100
no-rerank,0.4511,0.6153,0.6679,0.7281,0.7807,0.7957,0.6767,0.8722,0.5291,0.5562,100
