method,n,n_retrievable,n_citation_scored,accuracy,accuracy_ci_low,accuracy_ci_high,citation_accuracy,citation_ci_low,citation_ci_high,citation_unparsed_rate,citations_per_answer,act_scope_hit_rate,grounded_rate,gold_in_corpus_rate,gold_in_context_rate,median_depth_returned,mrr,mrr*,mrr_doc,mrr_doc*,recall@1,recall@1*,precision@1,precision@1*,hit@1,hit@1*,doc_hit@1,doc_hit@1*,recall@3,recall@3*,precision@3,precision@3*,hit@3,hit@3*,doc_hit@3,doc_hit@3*,recall@5,recall@5*,precision@5,precision@5*,hit@5,hit@5*,doc_hit@5,doc_hit@5*,recall@10,recall@10*,precision@10,precision@10*,hit@10,hit@10*,doc_hit@10,doc_hit@10*,recall@20,recall@20*,precision@20,precision@20*,hit@20,hit@20*,doc_hit@20,doc_hit@20*,recall@50,recall@50*,precision@50,precision@50*,hit@50,hit@50*,doc_hit@50,doc_hit@50*,recall@100,recall@100*,precision@100,precision@100*,hit@100,hit@100*,doc_hit@100,doc_hit@100*,ndcg@10,ndcg@10*,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q,errors
full-hybrid,150,133,133,0.96,0.9154854608728422,0.9815410911130965,0.7443609022556391,0.6640905808180467,0.8109111730345829,0.03759398496240601,0.96,,0.8867,0.8867,0.72,100,0.6738,0.7295,0.8057,0.8724,0.625,0.6767,0.6319,0.6842,0.6319,0.6842,0.7917,0.8571,0.6968,0.7544,0.2384,0.2581,0.7014,0.7594,0.8125,0.8797,0.7037,0.7619,0.1444,0.1564,0.7083,0.7669,0.8194,0.8872,0.7454,0.807,0.0764,0.0827,0.75,0.812,0.8333,0.9023,0.7593,0.8221,0.0389,0.0421,0.7639,0.8271,0.8333,0.9023,0.7801,0.8446,0.016,0.0173,0.7847,0.8496,0.8611,0.9323,0.8032,0.8697,0.0083,0.0089,0.8056,0.8722,0.8611,0.9323,0.6884,0.7453,8053,13990,7248,3,7326,299,0.228,0
full,150,133,133,0.92,0.8653774250568133,0.9536468180607831,0.6766917293233082,0.5932044024817998,0.7502584041501015,0.03007518796992481,0.9533,,0.7467,0.8867,0.6533,100,0.619,0.6702,0.7871,0.8522,0.5694,0.6165,0.5764,0.6241,0.5764,0.6241,0.7708,0.8346,0.6447,0.698,0.2199,0.2381,0.6528,0.7068,0.7986,0.8647,0.6586,0.713,0.1347,0.1459,0.6667,0.7218,0.7986,0.8647,0.6725,0.7281,0.0687,0.0744,0.6806,0.7368,0.8056,0.8722,0.6863,0.7431,0.0351,0.038,0.6944,0.7519,0.8125,0.8797,0.7211,0.7807,0.0147,0.0159,0.7292,0.7895,0.8264,0.8947,0.735,0.7957,0.0075,0.0081,0.7431,0.8045,0.8403,0.9098,0.6269,0.6787,8136,13985,7432,3,7472,301,0.232,0
no-covers,150,133,133,0.9066666666666666,0.8494348221544131,0.9435886513404022,0.6165413533834586,0.5317359210143325,0.6948033769769215,0.06766917293233082,0.8933,,0.7333,0.8867,0.6533,100,0.6046,0.6546,0.7787,0.8428,0.5509,0.5965,0.5625,0.609,0.5625,0.609,0.7639,0.8271,0.6308,0.683,0.2153,0.2331,0.6389,0.6917,0.7917,0.8571,0.6447,0.698,0.1319,0.1429,0.6528,0.7068,0.7917,0.8571,0.6725,0.7281,0.0687,0.0744,0.6806,0.7368,0.7986,0.8647,0.6725,0.7281,0.0344,0.0372,0.6806,0.7368,0.8056,0.8722,0.6725,0.7281,0.0138,0.0149,0.6806,0.7368,0.8333,0.8947,0.7095,0.7682,0.0073,0.0079,0.7153,0.7744,0.8472,0.9098,0.6164,0.6674,5724,7944,5018,3,7476,300,0.232,0
no-concepts,150,133,133,0.9133333333333333,0.8573705468757647,0.9486533114304411,0.6541353383458647,0.5699953429117186,0.72962114797994,0.05263157894736842,0.92,,0.7533,0.8867,0.6533,100,0.6488,0.7025,0.8083,0.8752,0.6134,0.6642,0.625,0.6767,0.625,0.6767,0.7917,0.8571,0.6516,0.7055,0.2222,0.2406,0.6597,0.7143,0.8194,0.8872,0.6655,0.7206,0.1361,0.1474,0.6736,0.7293,0.8264,0.8947,0.6725,0.7281,0.0687,0.0744,0.6806,0.7368,0.8264,0.8947,0.6794,0.7356,0.0347,0.0376,0.6875,0.7444,0.8333,0.9023,0.7072,0.7657,0.0144,0.0156,0.7153,0.7744,0.8542,0.9248,0.7627,0.8258,0.0078,0.0084,0.7708,0.8346,0.8611,0.9323,0.6486,0.7023,7342,12025,6595,3,7407,299,0.23,0
no-analysis,150,133,133,0.9266666666666666,0.873463014734016,0.9585616131949707,0.6616541353383458,0.5777099539192391,0.7365219755525004,0.045112781954887216,0.92,,0.74,0.8867,0.64,100,0.6122,0.6628,0.8193,0.8871,0.5694,0.6165,0.5764,0.6241,0.5764,0.6241,0.8125,0.8797,0.6285,0.6805,0.213,0.2306,0.6319,0.6842,0.8264,0.8947,0.6493,0.703,0.1319,0.1429,0.6528,0.7068,0.8264,0.8947,0.6632,0.718,0.0674,0.0729,0.6667,0.7218,0.8264,0.8947,0.6701,0.7256,0.034,0.0368,0.6736,0.7293,0.8333,0.9023,0.6771,0.7331,0.0138,0.0149,0.6806,0.7368,0.8472,0.9173,0.7234,0.7832,0.0074,0.008,0.7292,0.7895,0.8472,0.9173,0.6221,0.6735,8990,13422,8288,2,7205,88,0.193,0
no-rerank,150,133,133,0.8866666666666667,0.8259959574322895,0.9280263616283547,0.6616541353383458,0.5777099539192391,0.7365219755525004,0.06766917293233082,0.9067,,0.6933,0.8867,0.6,100,0.4887,0.5291,0.7304,0.7908,0.4167,0.4511,0.4167,0.4511,0.4167,0.4511,0.6944,0.7519,0.5127,0.5551,0.1759,0.1905,0.5208,0.5639,0.75,0.812,0.5683,0.6153,0.1167,0.1263,0.5764,0.6241,0.7639,0.8271,0.6169,0.6679,0.0632,0.0684,0.625,0.6767,0.8056,0.8722,0.6725,0.7281,0.0344,0.0372,0.6806,0.7368,0.8264,0.8947,0.7211,0.7807,0.0147,0.0159,0.7292,0.7895,0.8264,0.8947,0.735,0.7957,0.0075,0.0081,0.7431,0.8045,0.8403,0.9098,0.5137,0.5562,7272,13283,6467,2,4233,260,0.145,0
