method,n,n_retrievable,accuracy,citation_accuracy,recall@10*,mrr*,ndcg@10*,gold_in_context_rate,errors
full-hybrid,150,133,0.96,0.7443609022556391,0.807,0.7295,0.7453,0.72,0
full,150,133,0.92,0.6766917293233082,0.7281,0.6702,0.6787,0.6533,0
no-covers,150,133,0.9066666666666666,0.6165413533834586,0.7281,0.6546,0.6674,0.6533,0
no-concepts,150,133,0.9133333333333333,0.6541353383458647,0.7281,0.7025,0.7023,0.6533,0
no-analysis,150,133,0.9266666666666666,0.6616541353383458,0.718,0.6628,0.6735,0.64,0
no-rerank,150,133,0.8866666666666667,0.6616541353383458,0.6679,0.5291,0.5562,0.6,0
