method,recall@1*,recall@5*,recall@10*,recall@20*,recall@50*,recall@100*,hit@10*,doc_hit@10*,mrr*,ndcg@10*,median_depth_returned
bm25-lemma,0.5852,0.6942,0.7393,0.7619,0.8246,0.8496,0.7444,0.8797,0.65,0.6646,100
bm25-raw,0.6078,0.7055,0.7206,0.7694,0.8221,0.8421,0.7293,0.9098,0.6673,0.672,100
bm25-expanded,0.4799,0.6378,0.698,0.7381,0.802,0.8396,0.7068,0.9173,0.5681,0.5909,100
bm25-surrogate,0.4248,0.6353,0.6792,0.7318,0.7657,0.8133,0.6917,0.9098,0.5227,0.5549,100
