method,n,n_retrievable,accuracy,citation_accuracy,recall@10*,mrr*,ndcg@10*,gold_in_context_rate,errors
bm25-lemma,150,133,0.9733333333333334,0.7518796992481203,0.7393,0.65,0.6646,0.66,0
bm25-raw,150,133,0.9533333333333334,0.706766917293233,0.7206,0.6673,0.672,0.64,0
bm25-expanded,150,133,0.9666666666666667,0.6992481203007519,0.698,0.5681,0.5909,0.6133,0
bm25-surrogate,150,133,0.9266666666666666,0.6691729323308271,0.6792,0.5227,0.5549,0.6133,0
