method,n,n_retrievable,n_citation_scored,accuracy,accuracy_ci_low,accuracy_ci_high,citation_accuracy,citation_ci_low,citation_ci_high,citation_unparsed_rate,citations_per_answer,act_scope_hit_rate,grounded_rate,gold_in_corpus_rate,gold_in_context_rate,median_depth_returned,mrr,mrr*,mrr_doc,mrr_doc*,recall@1,recall@1*,precision@1,precision@1*,hit@1,hit@1*,doc_hit@1,doc_hit@1*,recall@3,recall@3*,precision@3,precision@3*,hit@3,hit@3*,doc_hit@3,doc_hit@3*,recall@5,recall@5*,precision@5,precision@5*,hit@5,hit@5*,doc_hit@5,doc_hit@5*,recall@10,recall@10*,precision@10,precision@10*,hit@10,hit@10*,doc_hit@10,doc_hit@10*,recall@20,recall@20*,precision@20,precision@20*,hit@20,hit@20*,doc_hit@20,doc_hit@20*,recall@50,recall@50*,precision@50,precision@50*,hit@50,hit@50*,doc_hit@50,doc_hit@50*,recall@100,recall@100*,precision@100,precision@100*,hit@100,hit@100*,doc_hit@100,doc_hit@100*,ndcg@10,ndcg@10*,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q,errors
bm25-lemma,150,133,133,0.9733333333333334,0.9334450938998244,0.9895822277088953,0.7518796992481203,0.6720950018941981,0.8175221905385123,0.015037593984962405,0.9867,,0.8933,0.8867,0.66,100,0.6003,0.65,0.7628,0.8259,0.5405,0.5852,0.5486,0.594,0.5486,0.594,0.7292,0.7895,0.6238,0.6754,0.2106,0.2281,0.6319,0.6842,0.7986,0.8647,0.6412,0.6942,0.1306,0.1414,0.6528,0.7068,0.8056,0.8722,0.6829,0.7393,0.0701,0.0759,0.6875,0.7444,0.8125,0.8797,0.7037,0.7619,0.0361,0.0391,0.7083,0.7669,0.8264,0.8947,0.7616,0.8246,0.0157,0.017,0.7639,0.8271,0.8542,0.9248,0.7847,0.8496,0.0081,0.0088,0.7847,0.8496,0.8611,0.9323,0.6138,0.6646,752,986,41,1,4389,49,0.117,0
bm25-raw,150,133,133,0.9533333333333334,0.9068124260764262,0.9772137410981222,0.706766917293233,0.6244650873638766,0.7774594735883483,0.045112781954887216,0.96,,0.8867,0.8867,0.64,100,0.6163,0.6673,0.7882,0.8533,0.5613,0.6078,0.5694,0.6165,0.5694,0.6165,0.75,0.812,0.6377,0.6905,0.2153,0.2331,0.6458,0.6992,0.8194,0.8872,0.6516,0.7055,0.1319,0.1429,0.6597,0.7143,0.8264,0.8947,0.6655,0.7206,0.0674,0.0729,0.6736,0.7293,0.8403,0.9098,0.7106,0.7694,0.0365,0.0395,0.7153,0.7744,0.8403,0.9098,0.7593,0.8221,0.0156,0.0168,0.7639,0.8271,0.8611,0.9323,0.7778,0.8421,0.0081,0.0087,0.7778,0.8421,0.8681,0.9398,0.6207,0.672,747,1056,26,1,4332,49,0.116,0
bm25-expanded,150,133,133,0.9666666666666667,0.9243471574929044,0.9856797793044249,0.6992481203007519,0.6166148612234348,0.7706942611487094,0.03007518796992481,0.9733,,0.8667,0.8867,0.6133,100,0.5247,0.5681,0.7418,0.8032,0.4433,0.4799,0.4514,0.4887,0.4514,0.4887,0.6736,0.7293,0.5613,0.6078,0.1898,0.2055,0.5694,0.6165,0.8056,0.8722,0.5891,0.6378,0.1194,0.1293,0.5972,0.6466,0.8264,0.8947,0.6447,0.698,0.066,0.0714,0.6528,0.7068,0.8472,0.9173,0.6817,0.7381,0.0351,0.038,0.6875,0.7444,0.8472,0.9173,0.7407,0.802,0.0153,0.0165,0.7431,0.8045,0.8542,0.9248,0.7755,0.8396,0.008,0.0086,0.7778,0.8421,0.8542,0.9248,0.5457,0.5909,1888,2234,1178,2,5074,261,0.166,0
bm25-surrogate,150,133,133,0.9266666666666666,0.873463014734016,0.9585616131949707,0.6691729323308271,0.5854461891080122,0.7434011789438083,0.03007518796992481,0.9667,,0.7267,0.8867,0.6133,100,0.4828,0.5227,0.7796,0.844,0.3924,0.4248,0.3958,0.4286,0.3958,0.4286,0.7431,0.8045,0.5382,0.5827,0.1806,0.1955,0.5417,0.5865,0.7986,0.8647,0.5868,0.6353,0.1181,0.1278,0.5903,0.6391,0.8403,0.9098,0.6273,0.6792,0.0639,0.0692,0.6389,0.6917,0.8403,0.9098,0.6759,0.7318,0.0344,0.0372,0.6875,0.7444,0.8472,0.9173,0.7072,0.7657,0.0144,0.0156,0.7153,0.7744,0.8472,0.9173,0.7512,0.8133,0.0077,0.0083,0.7569,0.8195,0.8472,0.9173,0.5125,0.5549,680,941,10,1,3560,50,0.097,0
