vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
closed-book,133,76.7%,0.0%,-76.7pp,102,0,102,100.0098,0,***,ok
dense-surro-rescore,133,76.7%,57.1%,-19.5pp,27,1,28,22.3214,0,***,ok
oracle,133,76.7%,100.0%,23.3pp,0,31,31,29.0323,0,***,ok
oracle-doc,133,76.7%,3.0%,-73.7pp,99,1,100,94.09,0,***,ok
random,133,76.7%,0.0%,-76.7pp,102,0,102,100.0098,0,***,ok
no-rerank,133,76.7%,62.4%,-14.3pp,21,2,23,14.087,0.00007,***,low
dense,133,76.7%,66.9%,-9.8pp,15,2,17,8.4706,0.00235,**,low
dense-prf,133,76.7%,66.9%,-9.8pp,15,2,17,8.4706,0.00235,**,low
bm25-expanded,133,76.7%,64.7%,-12.0pp,21,5,26,8.6538,0.00326,**,ok
bm25-surrogate,133,76.7%,63.9%,-12.8pp,24,7,31,8.2581,0.00406,**,ok
dense-rephrased,133,76.7%,67.7%,-9.0pp,16,4,20,6.05,0.01182,*,low
no-covers,133,76.7%,70.7%,-6.0pp,12,4,16,3.0625,0.07681,ns,low
bm25-lemma,133,76.7%,70.7%,-6.0pp,14,6,20,2.45,0.11532,ns,low
no-analysis,133,76.7%,70.7%,-6.0pp,15,7,22,2.2273,0.1338,ns,low
bm25-raw,133,76.7%,71.4%,-5.3pp,13,6,19,1.8947,0.16707,ns,low
dense-surro-rrf,133,76.7%,71.4%,-5.3pp,13,6,19,1.8947,0.16707,ns,low
full,133,76.7%,72.2%,-4.5pp,10,4,14,1.7857,0.17957,ns,low
rrf,133,76.7%,72.2%,-4.5pp,10,4,14,1.7857,0.17957,ns,low
no-concepts,133,76.7%,72.9%,-3.8pp,12,7,19,0.8421,0.35928,ns,low
triad,133,76.7%,72.9%,-3.8pp,13,8,21,0.7619,0.38331,ns,low
