vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
closed-book,133,81.2%,0.0%,-81.2pp,108,0,108,106.0093,0,***,ok
dense-surro-rescore,133,81.2%,66.9%,-14.3pp,19,0,19,17.0526,0,***,low
oracle,133,81.2%,100.0%,18.8pp,0,25,25,23.04,0,***,ok
oracle-doc,133,81.2%,4.5%,-76.7pp,104,2,106,96.2358,0,***,ok
random,133,81.2%,0.0%,-81.2pp,108,0,108,106.0093,0,***,ok
no-rerank,133,81.2%,67.7%,-13.5pp,19,1,20,14.45,0.00004,***,low
bm25-surrogate,133,81.2%,69.2%,-12.0pp,19,3,22,10.2273,0.00085,***,low
dense,133,81.2%,71.4%,-9.8pp,14,1,15,9.6,0.00098,***,low
dense-prf,133,81.2%,74.4%,-6.8pp,9,0,9,7.1111,0.00391,**,⚠ too few
dense-rephrased,133,81.2%,72.2%,-9.0pp,14,2,16,7.5625,0.00418,**,low
bm25-expanded,133,81.2%,70.7%,-10.5pp,18,4,22,7.6818,0.00434,**,low
no-analysis,133,81.2%,72.2%,-9.0pp,17,5,22,5.5,0.0169,*,low
full,133,81.2%,73.7%,-7.5pp,13,3,16,5.0625,0.02127,*,low
bm25-raw,133,81.2%,72.9%,-8.3pp,16,5,21,4.7619,0.0266,*,low
no-concepts,133,81.2%,73.7%,-7.5pp,14,4,18,4.5,0.03088,*,low
no-covers,133,81.2%,73.7%,-7.5pp,14,4,18,4.5,0.03088,*,low
bm25-lemma,133,81.2%,74.4%,-6.8pp,14,5,19,3.3684,0.06357,ns,low
dense-surro-rrf,133,81.2%,75.9%,-5.3pp,9,2,11,3.2727,0.06543,ns,low
rrf,133,81.2%,78.9%,-2.3pp,7,4,11,0.3636,0.54883,ns,low
triad,133,81.2%,81.2%,0.0pp,6,6,12,0.0833,1,ns,low
