vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
closed-book,133,81.2%,0.0%,-81.2pp,108,0,108,106.0093,0,***,ok
dense-surro-rescore,133,81.2%,66.2%,-15.0pp,20,0,20,18.05,0,***,low
oracle,133,81.2%,100.0%,18.8pp,0,25,25,23.04,0,***,ok
oracle-doc,133,81.2%,3.8%,-77.4pp,105,2,107,97.2336,0,***,ok
random,133,81.2%,0.0%,-81.2pp,108,0,108,106.0093,0,***,ok
no-rerank,133,81.2%,67.7%,-13.5pp,19,1,20,14.45,0.00004,***,low
dense,133,81.2%,70.7%,-10.5pp,14,0,14,12.0714,0.00012,***,low
bm25-expanded,133,81.2%,69.2%,-12.0pp,18,2,20,11.25,0.0004,***,low
dense-prf,133,81.2%,72.2%,-9.0pp,12,0,12,10.0833,0.00049,***,low
bm25-surrogate,133,81.2%,69.2%,-12.0pp,19,3,22,10.2273,0.00085,***,low
dense-rephrased,133,81.2%,72.2%,-9.0pp,14,2,16,7.5625,0.00418,**,low
bm25-raw,133,81.2%,72.2%,-9.0pp,16,4,20,6.05,0.01182,*,low
no-analysis,133,81.2%,72.2%,-9.0pp,17,5,22,5.5,0.0169,*,low
full,133,81.2%,73.7%,-7.5pp,13,3,16,5.0625,0.02127,*,low
no-concepts,133,81.2%,73.7%,-7.5pp,14,4,18,4.5,0.03088,*,low
no-covers,133,81.2%,73.7%,-7.5pp,14,4,18,4.5,0.03088,*,low
bm25-lemma,133,81.2%,74.4%,-6.8pp,14,5,19,3.3684,0.06357,ns,low
dense-surro-rrf,133,81.2%,75.9%,-5.3pp,9,2,11,3.2727,0.06543,ns,low
rrf,133,81.2%,78.2%,-3.0pp,7,3,10,0.9,0.34375,ns,low
triad,133,81.2%,80.5%,-0.8pp,6,5,11,0,1,ns,low
