vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
bm25-surrogate,133,68.4%,42.9%,-25.6pp,38,4,42,25.9286,0,***,ok
closed-book,133,68.4%,0.0%,-68.4pp,91,0,91,89.011,0,***,ok
dense-prf,133,68.4%,45.1%,-23.3pp,35,4,39,23.0769,0,***,ok
dense-surro-rescore,133,68.4%,41.4%,-27.1pp,41,5,46,26.6304,0,***,ok
no-rerank,133,68.4%,45.1%,-23.3pp,33,2,35,25.7143,0,***,ok
oracle,133,68.4%,100.0%,31.6pp,0,42,42,40.0238,0,***,ok
oracle-doc,133,68.4%,0.8%,-67.7pp,91,1,92,86.0978,0,***,ok
random,133,68.4%,0.0%,-68.4pp,91,0,91,89.011,0,***,ok
bm25-expanded,133,68.4%,48.9%,-19.5pp,31,5,36,17.3611,0.00003,***,ok
dense-rephrased,133,68.4%,48.9%,-19.5pp,31,5,36,17.3611,0.00003,***,ok
dense,133,68.4%,49.6%,-18.8pp,31,6,37,15.5676,0.00008,***,ok
triad,133,68.4%,50.4%,-18.0pp,32,8,40,13.225,0.00028,***,ok
dense-surro-rrf,133,68.4%,53.4%,-15.0pp,28,8,36,10.0278,0.00154,**,ok
no-covers,133,68.4%,60.9%,-7.5pp,13,3,16,5.0625,0.02127,*,low
rrf,133,68.4%,57.9%,-10.5pp,23,9,32,5.2813,0.02156,*,ok
full,133,68.4%,62.4%,-6.0pp,10,2,12,4.0833,0.03857,*,low
bm25-lemma,133,68.4%,59.4%,-9.0pp,22,10,32,3.7813,0.05183,ns,ok
bm25-raw,133,68.4%,61.7%,-6.8pp,20,11,31,2.0645,0.15076,ns,ok
no-analysis,133,68.4%,62.4%,-6.0pp,16,8,24,2.0417,0.15159,ns,low
no-concepts,133,68.4%,67.7%,-0.8pp,9,8,17,0,1,ns,low
