vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
closed-book,133,82.7%,0.0%,-82.7pp,110,0,110,108.0091,0,***,ok
oracle,133,82.7%,100.0%,17.3pp,0,23,23,21.0435,0,***,low
oracle-doc,133,82.7%,8.3%,-74.4pp,102,3,105,91.4667,0,***,ok
random,133,82.7%,0.0%,-82.7pp,110,0,110,108.0091,0,***,ok
dense,133,82.7%,73.7%,-9.0pp,13,1,14,8.6429,0.00183,**,low
dense-surro-rescore,133,82.7%,73.7%,-9.0pp,13,1,14,8.6429,0.00183,**,low
no-rerank,133,82.7%,73.7%,-9.0pp,13,1,14,8.6429,0.00183,**,low
no-covers,133,82.7%,73.7%,-9.0pp,14,2,16,7.5625,0.00418,**,low
no-analysis,133,82.7%,72.9%,-9.8pp,16,3,19,7.5789,0.00443,**,low
dense-rephrased,133,82.7%,75.2%,-7.5pp,11,1,12,6.75,0.00635,**,low
full,133,82.7%,75.2%,-7.5pp,11,1,12,6.75,0.00635,**,low
bm25-surrogate,133,82.7%,74.4%,-8.3pp,14,3,17,5.8824,0.01273,*,low
no-concepts,133,82.7%,74.4%,-8.3pp,14,3,17,5.8824,0.01273,*,low
bm25-expanded,133,82.7%,74.4%,-8.3pp,15,4,19,5.2632,0.01921,*,low
dense-prf,133,82.7%,78.2%,-4.5pp,7,1,8,3.125,0.07031,ns,⚠ too few
bm25-lemma,133,82.7%,76.7%,-6.0pp,13,5,18,2.7222,0.09625,ns,low
bm25-raw,133,82.7%,77.4%,-5.3pp,12,5,17,2.1176,0.14346,ns,low
triad,133,82.7%,85.0%,2.3pp,4,7,11,0.3636,0.54883,ns,low
dense-surro-rrf,133,82.7%,81.2%,-1.5pp,6,4,10,0.1,0.75391,ns,low
rrf,133,82.7%,84.2%,1.5pp,4,6,10,0.1,0.75391,ns,low
