vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
oracle-doc,150,96.0%,76.0%,-20.0pp,31,1,32,26.2813,0,***,ok
random,150,96.0%,72.0%,-24.0pp,36,0,36,34.0278,0,***,ok
no-rerank,150,96.0%,88.7%,-7.3pp,11,0,11,9.0909,0.00098,***,low
dense-surro-rescore,150,96.0%,88.0%,-8.0pp,14,2,16,7.5625,0.00418,**,low
no-covers,150,96.0%,90.7%,-5.3pp,8,0,8,6.125,0.00781,**,⚠ too few
dense,150,96.0%,90.7%,-5.3pp,11,3,14,3.5,0.05737,ns,low
full,150,96.0%,92.0%,-4.0pp,7,1,8,3.125,0.07031,ns,⚠ too few
no-concepts,150,96.0%,91.3%,-4.7pp,10,3,13,2.7692,0.09229,ns,low
bm25-surrogate,150,96.0%,92.7%,-3.3pp,8,3,11,1.4545,0.22656,ns,low
no-analysis,150,96.0%,92.7%,-3.3pp,8,3,11,1.4545,0.22656,ns,low
dense-prf,150,96.0%,93.3%,-2.7pp,6,2,8,1.125,0.28906,ns,⚠ too few
closed-book,150,96.0%,92.7%,-3.3pp,10,5,15,1.0667,0.30176,ns,low
oracle,150,96.0%,94.0%,-2.0pp,8,5,13,0.3077,0.58105,ns,low
bm25-lemma,150,96.0%,97.3%,1.3pp,2,4,6,0.1667,0.6875,ns,⚠ too few
dense-rephrased,150,96.0%,94.7%,-1.3pp,5,3,8,0.125,0.72656,ns,⚠ too few
bm25-expanded,150,96.0%,96.7%,0.7pp,4,5,9,0,1,ns,⚠ too few
bm25-raw,150,96.0%,95.3%,-0.7pp,5,4,9,0,1,ns,⚠ too few
dense-surro-rrf,150,96.0%,96.7%,0.7pp,2,3,5,0,1,ns,⚠ too few
rrf,150,96.0%,96.0%,0.0pp,3,3,6,0.1667,1,ns,⚠ too few
triad,150,96.0%,96.7%,0.7pp,3,4,7,0,1,ns,⚠ too few
