method,recall@1*,recall@5*,recall@10*,recall@20*,recall@50*,recall@100*,hit@10*,doc_hit@10*,mrr*,ndcg@10*,median_depth_returned
dense-rephrased,0.4837,0.6717,0.7193,0.7456,0.7644,0.7644,0.7218,0.8647,0.5653,0.5982,35
dense,0.4912,0.6642,0.7055,0.7318,0.7419,0.7419,0.7143,0.8496,0.5697,0.5986,33
