method,n,n_retrievable,accuracy,citation_accuracy,recall@10*,mrr*,ndcg@10*,gold_in_context_rate,errors
dense-rephrased,150,133,0.9466666666666667,0.6917293233082706,0.7193,0.5653,0.5982,0.64,0
dense,150,133,0.9066666666666666,0.6691729323308271,0.7055,0.5697,0.5986,0.6267,0
