method,n,n_retrievable,n_citation_scored,accuracy,accuracy_ci_low,accuracy_ci_high,citation_accuracy,citation_ci_low,citation_ci_high,citation_unparsed_rate,citations_per_answer,act_scope_hit_rate,grounded_rate,gold_in_corpus_rate,gold_in_context_rate,median_depth_returned,mrr,mrr*,mrr_doc,mrr_doc*,recall@1,recall@1*,precision@1,precision@1*,hit@1,hit@1*,doc_hit@1,doc_hit@1*,recall@3,recall@3*,precision@3,precision@3*,hit@3,hit@3*,doc_hit@3,doc_hit@3*,recall@5,recall@5*,precision@5,precision@5*,hit@5,hit@5*,doc_hit@5,doc_hit@5*,recall@10,recall@10*,precision@10,precision@10*,hit@10,hit@10*,doc_hit@10,doc_hit@10*,recall@20,recall@20*,precision@20,precision@20*,hit@20,hit@20*,doc_hit@20,doc_hit@20*,recall@50,recall@50*,precision@50,precision@50*,hit@50,hit@50*,doc_hit@50,doc_hit@50*,recall@100,recall@100*,precision@100,precision@100*,hit@100,hit@100*,doc_hit@100,doc_hit@100*,ndcg@10,ndcg@10*,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q,errors
dense-rephrased,150,133,133,0.9466666666666667,0.8982949952532904,0.9727307871098675,0.6917293233082706,0.6087883143608855,0.7639053694311776,0.05263157894736842,0.9533,,0.8333,0.8867,0.64,35,0.5222,0.5653,0.7189,0.7784,0.4468,0.4837,0.4514,0.4887,0.4514,0.4887,0.6667,0.7218,0.5544,0.6003,0.1875,0.203,0.5625,0.609,0.7778,0.8421,0.6204,0.6717,0.1264,0.1368,0.625,0.6767,0.7917,0.8571,0.6644,0.7193,0.0681,0.0737,0.6667,0.7218,0.7986,0.8647,0.6887,0.7456,0.0354,0.0383,0.6944,0.7519,0.7986,0.8647,0.706,0.7644,0.0146,0.0158,0.7083,0.7669,0.7986,0.8647,0.706,0.7644,0.0073,0.0079,0.7083,0.7669,0.7986,0.8647,0.5525,0.5982,1866,2216,1155,2,4656,260,0.155,0
dense,150,133,133,0.9066666666666666,0.8494348221544131,0.9435886513404022,0.6691729323308271,0.5854461891080122,0.7434011789438083,0.10526315789473684,0.9067,,0.7933,0.8867,0.6267,33,0.5262,0.5697,0.7283,0.7886,0.4537,0.4912,0.4583,0.4962,0.4583,0.4962,0.7014,0.7594,0.5613,0.6078,0.1898,0.2055,0.5694,0.6165,0.75,0.812,0.6134,0.6642,0.125,0.1353,0.6181,0.6692,0.7639,0.8271,0.6516,0.7055,0.0667,0.0722,0.6597,0.7143,0.7847,0.8496,0.6759,0.7318,0.0347,0.0376,0.6806,0.7368,0.7847,0.8496,0.6852,0.7419,0.0142,0.0153,0.6875,0.7444,0.7847,0.8496,0.6852,0.7419,0.0071,0.0077,0.6875,0.7444,0.7847,0.8496,0.5529,0.5986,733,1064,48,1,4090,49,0.11,0
