vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
oracle-doc,150,66.0%,36.7%,-29.3pp,48,4,52,35.5577,0,***,ok
random,150,66.0%,24.7%,-41.3pp,65,3,68,54.7206,0,***,ok
closed-book,150,66.0%,46.7%,-19.3pp,42,13,55,14.2545,0.00016,***,ok
no-rerank,150,66.0%,54.0%,-12.0pp,21,3,24,12.0417,0.00028,***,low
dense-surro-rescore,150,66.0%,58.0%,-8.0pp,16,4,20,6.05,0.01182,*,low
no-covers,150,66.0%,58.7%,-7.3pp,17,6,23,4.3478,0.03469,*,low
no-analysis,150,66.0%,60.0%,-6.0pp,15,6,21,3.0476,0.07835,ns,low
no-concepts,150,66.0%,60.7%,-5.3pp,13,5,18,2.7222,0.09625,ns,low
full,150,66.0%,62.0%,-4.0pp,8,2,10,2.5,0.10938,ns,low
dense,150,66.0%,61.3%,-4.7pp,11,4,15,2.4,0.11847,ns,low
bm25-expanded,150,66.0%,60.7%,-5.3pp,18,10,28,1.75,0.18588,ns,ok
bm25-surrogate,150,66.0%,61.3%,-4.7pp,14,7,21,1.7143,0.18925,ns,low
dense-prf,150,66.0%,63.3%,-2.7pp,9,5,14,0.6429,0.42395,ns,low
triad,150,66.0%,68.7%,2.7pp,6,10,16,0.5625,0.4545,ns,low
rrf,150,66.0%,68.0%,2.0pp,4,7,11,0.3636,0.54883,ns,low
oracle,150,66.0%,68.0%,2.0pp,5,8,13,0.3077,0.58105,ns,low
dense-surro-rrf,150,66.0%,67.3%,1.3pp,5,7,12,0.0833,0.77441,ns,low
bm25-lemma,150,66.0%,66.0%,0.0pp,6,6,12,0.0833,1,ns,low
bm25-raw,150,66.0%,66.7%,0.7pp,5,6,11,0,1,ns,low
dense-rephrased,150,66.0%,65.3%,-0.7pp,9,8,17,0,1,ns,low
