method,recall@1*,recall@5*,recall@10*,recall@20*,recall@50*,recall@100*,hit@10*,doc_hit@10*,mrr*,ndcg@10*,median_depth_returned
triad,0.495,0.7206,0.8033,0.8446,0.8672,0.8922,0.812,0.9323,0.6038,0.6448,100
rrf,0.5702,0.713,0.7845,0.8371,0.8622,0.8797,0.7895,0.9173,0.6553,0.6793,100
dense-surro-rrf,0.5301,0.7018,0.7506,0.8033,0.8471,0.8697,0.7594,0.9098,0.6212,0.6453,100
dense-prf,0.4461,0.6642,0.7393,0.7794,0.8095,0.8471,0.7444,0.8797,0.5427,0.5843,100
dense-surro-rescore,0.4085,0.5589,0.6604,0.7318,0.7419,0.7419,0.6692,0.8271,0.4855,0.5192,33
