method,n,n_retrievable,n_citation_scored,accuracy,accuracy_ci_low,accuracy_ci_high,citation_accuracy,citation_ci_low,citation_ci_high,citation_unparsed_rate,citations_per_answer,act_scope_hit_rate,grounded_rate,gold_in_corpus_rate,gold_in_context_rate,median_depth_returned,mrr,mrr*,mrr_doc,mrr_doc*,recall@1,recall@1*,precision@1,precision@1*,hit@1,hit@1*,doc_hit@1,doc_hit@1*,recall@3,recall@3*,precision@3,precision@3*,hit@3,hit@3*,doc_hit@3,doc_hit@3*,recall@5,recall@5*,precision@5,precision@5*,hit@5,hit@5*,doc_hit@5,doc_hit@5*,recall@10,recall@10*,precision@10,precision@10*,hit@10,hit@10*,doc_hit@10,doc_hit@10*,recall@20,recall@20*,precision@20,precision@20*,hit@20,hit@20*,doc_hit@20,doc_hit@20*,recall@50,recall@50*,precision@50,precision@50*,hit@50,hit@50*,doc_hit@50,doc_hit@50*,recall@100,recall@100*,precision@100,precision@100*,hit@100,hit@100*,doc_hit@100,doc_hit@100*,ndcg@10,ndcg@10*,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q,errors
dense-surro-rrf,150,131,131,0.9866666666666667,0.9526921436197237,0.9963359476117767,0.7557251908396947,0.6755533419055781,0.8213259594376275,0.022900763358778626,0.9667,,0.8933,0.8733,0.7267,100,0.6093,0.6651,0.7657,0.8272,0.5105,0.5573,0.5175,0.5649,0.5175,0.5649,0.7203,0.7786,0.6958,0.7595,0.2354,0.257,0.6993,0.7634,0.8112,0.8779,0.7203,0.7863,0.1469,0.1603,0.7273,0.7939,0.8182,0.8855,0.7552,0.8244,0.0769,0.084,0.7622,0.8321,0.8182,0.8855,0.7692,0.8397,0.0392,0.0427,0.7762,0.8473,0.8322,0.8931,0.7937,0.8664,0.0162,0.0177,0.7972,0.8702,0.8462,0.9008,0.8007,0.874,0.0082,0.0089,0.8042,0.8779,0.8531,0.9084,0.6418,0.7006,731,1129,42,1,3955,50,0.106,0
triad,150,131,131,0.9666666666666667,0.9243471574929044,0.9856797793044249,0.7633587786259542,0.6837257351126099,0.8279857841811392,0.015267175572519083,0.96,1,0.92,0.8733,0.72,100,0.5796,0.6327,0.8278,0.8958,0.4825,0.5267,0.4895,0.5344,0.4895,0.5344,0.8182,0.8855,0.6084,0.6641,0.2051,0.2239,0.6154,0.6718,0.8392,0.9084,0.6853,0.7481,0.1399,0.1527,0.6923,0.7557,0.8392,0.9084,0.7552,0.8244,0.0769,0.084,0.7622,0.8321,0.8392,0.9084,0.7902,0.8626,0.0402,0.0439,0.7972,0.8702,0.8392,0.9084,0.8007,0.874,0.0164,0.0179,0.8042,0.8779,0.8392,0.9084,0.8077,0.8817,0.0083,0.009,0.8112,0.8855,0.8601,0.916,0.6167,0.6732,795,1085,109,1,4030,49,0.108,0
rrf,150,131,131,0.9733333333333334,0.9334450938998244,0.9895822277088953,0.7557251908396947,0.6755533419055781,0.8213259594376275,0.022900763358778626,0.9667,,0.92,0.8733,0.7133,100,0.6574,0.7176,0.7831,0.8469,0.5979,0.6527,0.6014,0.6565,0.6014,0.6565,0.7552,0.8168,0.6923,0.7557,0.2331,0.2545,0.6993,0.7634,0.8112,0.8779,0.7238,0.7901,0.1469,0.1603,0.7273,0.7939,0.8182,0.8855,0.7448,0.813,0.0755,0.0824,0.7483,0.8168,0.8252,0.8931,0.7552,0.8244,0.0385,0.042,0.7552,0.8244,0.8252,0.8931,0.7762,0.8473,0.0158,0.0173,0.7762,0.8473,0.8601,0.916,0.7832,0.855,0.008,0.0087,0.7832,0.855,0.8601,0.916,0.676,0.738,809,1183,107,1,4283,49,0.114,0
dense-prf,150,131,131,0.96,0.9154854608728422,0.9815410911130965,0.7022900763358778,0.6191330278710727,0.7739207478183286,0.03816793893129771,0.9533,,0.8533,0.8733,0.6533,100,0.5237,0.5717,0.7105,0.7677,0.4301,0.4695,0.4336,0.4733,0.4336,0.4733,0.6643,0.7176,0.5944,0.6489,0.2005,0.2188,0.6014,0.6565,0.7413,0.8015,0.6434,0.7023,0.1301,0.142,0.6503,0.7099,0.7762,0.8397,0.6818,0.7443,0.0692,0.0756,0.6853,0.7481,0.7832,0.8473,0.7238,0.7901,0.0367,0.0401,0.7273,0.7939,0.7902,0.855,0.7378,0.8053,0.0151,0.0165,0.7413,0.8092,0.8112,0.8702,0.7657,0.8359,0.0078,0.0085,0.7692,0.8397,0.8182,0.8779,0.5575,0.6085,714,961,51,1,3877,49,0.104,0
dense-surro-rescore,150,131,131,0.92,0.8653774250568133,0.9536468180607831,0.648854961832061,0.5639348454311964,0.7252934046044008,0.04580152671755725,0.94,,0.8,0.8733,0.58,33,0.4532,0.4947,0.7026,0.7644,0.3776,0.4122,0.3776,0.4122,0.3776,0.4122,0.6713,0.7328,0.4895,0.5344,0.1655,0.1807,0.4965,0.542,0.7413,0.8015,0.549,0.5992,0.1119,0.1221,0.5524,0.6031,0.7483,0.8092,0.6119,0.6679,0.0622,0.0679,0.6154,0.6718,0.7483,0.8092,0.6538,0.7137,0.0332,0.0363,0.6573,0.7176,0.7552,0.8168,0.6853,0.7481,0.014,0.0153,0.6853,0.7481,0.7552,0.8168,0.6853,0.7481,0.007,0.0076,0.6853,0.7481,0.7552,0.8168,0.4881,0.5328,701,1089,37,1,3995,49,0.107,0
