method,n,n_retrievable,accuracy,citation_accuracy,recall@10*,mrr*,ndcg@10*,gold_in_context_rate,errors
dense-surro-rrf,150,131,0.9866666666666667,0.7557251908396947,0.8244,0.6651,0.7006,0.7267,0
triad,150,131,0.9666666666666667,0.7633587786259542,0.8244,0.6327,0.6732,0.72,0
rrf,150,131,0.9733333333333334,0.7557251908396947,0.813,0.7176,0.738,0.7133,0
dense-prf,150,131,0.96,0.7022900763358778,0.7443,0.5717,0.6085,0.6533,0
dense-surro-rescore,150,131,0.92,0.648854961832061,0.6679,0.4947,0.5328,0.58,0
