method,n,n_retrievable,accuracy,citation_accuracy,recall@10*,mrr*,ndcg@10*,gold_in_context_rate,errors
bm25-raw,150,131,0.9666666666666667,0.7404580152671756,0.7901,0.6877,0.7083,0.68,0
bm25-lemma,150,131,0.9733333333333334,0.732824427480916,0.7824,0.6827,0.7031,0.68,0
bm25-surrogate,150,131,0.94,0.6946564885496184,0.7328,0.5845,0.6133,0.6467,0
bm25-expanded,150,131,0.94,0.6717557251908397,0.7023,0.5922,0.6134,0.6133,0
