method,n,n_retrievable,accuracy,citation_accuracy,recall@10*,mrr*,ndcg@10*,gold_in_context_rate,errors
full-hybrid,150,131,0.9666666666666667,0.7480916030534351,0.855,0.7983,0.808,0.7467,0
full,150,131,0.94,0.7099236641221374,0.8015,0.757,0.7643,0.7067,0
no-concepts,150,131,0.9066666666666666,0.6870229007633588,0.7595,0.7168,0.724,0.6667,0
no-analysis,150,131,0.92,0.6793893129770993,0.7519,0.7062,0.7146,0.66,0
no-covers,150,131,0.9133333333333333,0.6641221374045801,0.7252,0.6856,0.691,0.64,0
no-rerank,150,131,0.9,0.6183206106870229,0.6908,0.5194,0.5529,0.6,0
