method,n,n_retrievable,n_citation_scored,accuracy,accuracy_ci_low,accuracy_ci_high,citation_accuracy,citation_ci_low,citation_ci_high,citation_unparsed_rate,citations_per_answer,act_scope_hit_rate,grounded_rate,gold_in_corpus_rate,gold_in_context_rate,median_depth_returned,mrr,mrr*,mrr_doc,mrr_doc*,recall@1,recall@1*,precision@1,precision@1*,hit@1,hit@1*,doc_hit@1,doc_hit@1*,recall@3,recall@3*,precision@3,precision@3*,hit@3,hit@3*,doc_hit@3,doc_hit@3*,recall@5,recall@5*,precision@5,precision@5*,hit@5,hit@5*,doc_hit@5,doc_hit@5*,recall@10,recall@10*,precision@10,precision@10*,hit@10,hit@10*,doc_hit@10,doc_hit@10*,recall@20,recall@20*,precision@20,precision@20*,hit@20,hit@20*,doc_hit@20,doc_hit@20*,recall@50,recall@50*,precision@50,precision@50*,hit@50,hit@50*,doc_hit@50,doc_hit@50*,recall@100,recall@100*,precision@100,precision@100*,hit@100,hit@100*,doc_hit@100,doc_hit@100*,ndcg@10,ndcg@10*,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q,errors
full-hybrid,150,131,131,0.9666666666666667,0.9243471574929044,0.9856797793044249,0.7480916030534351,0.6674106224590479,0.8146364609336143,0.022900763358778626,0.96,,0.92,0.8733,0.7467,100,0.7313,0.7983,0.8208,0.8935,0.6923,0.7557,0.6993,0.7634,0.6993,0.7634,0.8182,0.8931,0.7378,0.8053,0.2494,0.2723,0.7483,0.8168,0.8182,0.8931,0.7762,0.8473,0.158,0.1725,0.7832,0.855,0.8252,0.8931,0.7832,0.855,0.0797,0.087,0.7902,0.8626,0.8322,0.8931,0.7832,0.855,0.0399,0.0435,0.7902,0.8626,0.8322,0.8931,0.7937,0.8664,0.0162,0.0177,0.7972,0.8702,0.8531,0.9084,0.8042,0.8779,0.0083,0.009,0.8042,0.8779,0.8531,0.9084,0.7402,0.808,7596,13982,6917,3,7467,301,0.232,0
full,150,131,131,0.94,0.8899090795570952,0.9681163179946722,0.7099236641221374,0.6271138627153618,0.780772130924583,0.05343511450381679,0.9133,,0.7933,0.8733,0.7067,100,0.6935,0.757,0.8061,0.8782,0.6503,0.7099,0.6573,0.7176,0.6573,0.7176,0.7972,0.8702,0.7203,0.7863,0.2448,0.2672,0.7273,0.7939,0.8112,0.8855,0.7273,0.7939,0.1483,0.1618,0.7343,0.8015,0.8182,0.8855,0.7343,0.8015,0.0748,0.0817,0.7413,0.8092,0.8182,0.8855,0.7343,0.8015,0.0374,0.0408,0.7413,0.8092,0.8182,0.8855,0.7448,0.813,0.0152,0.0166,0.7483,0.8168,0.8322,0.8931,0.7797,0.8511,0.008,0.0087,0.7832,0.855,0.8322,0.8931,0.7002,0.7643,7928,13872,7190,3,7568,302,0.234,0
no-concepts,150,131,131,0.9066666666666666,0.8494348221544131,0.9435886513404022,0.6870229007633588,0.6032451962760919,0.7601441435122228,0.07633587786259542,0.8867,,0.74,0.8733,0.6667,100,0.6566,0.7168,0.7993,0.8713,0.6189,0.6756,0.6294,0.687,0.6294,0.687,0.7972,0.8702,0.6678,0.729,0.2284,0.2494,0.6713,0.7328,0.7972,0.8702,0.6888,0.7519,0.1413,0.1542,0.6923,0.7557,0.7972,0.8702,0.6958,0.7595,0.0713,0.0779,0.6993,0.7634,0.8112,0.8779,0.7028,0.7672,0.036,0.0393,0.7063,0.771,0.8112,0.8779,0.7098,0.7748,0.0145,0.0159,0.7133,0.7786,0.8182,0.8779,0.7587,0.8282,0.0078,0.0085,0.7622,0.8321,0.8322,0.8855,0.6633,0.724,6939,12209,6245,3,7550,300,0.234,0
no-analysis,150,131,131,0.92,0.8653774250568133,0.9536468180607831,0.6793893129770993,0.5953372121469508,0.7532199096908203,0.08396946564885496,0.88,,0.7467,0.8733,0.66,100,0.6469,0.7062,0.8126,0.8858,0.6084,0.6641,0.6154,0.6718,0.6154,0.6718,0.8042,0.8779,0.6748,0.7366,0.2284,0.2494,0.6783,0.7405,0.8182,0.8931,0.6818,0.7443,0.1385,0.1511,0.6853,0.7481,0.8182,0.8931,0.6888,0.7519,0.0699,0.0763,0.6923,0.7557,0.8252,0.8931,0.6888,0.7519,0.035,0.0382,0.6923,0.7557,0.8252,0.8931,0.7098,0.7748,0.0145,0.0159,0.7133,0.7786,0.8322,0.8931,0.7378,0.8053,0.0076,0.0082,0.7413,0.8092,0.8601,0.916,0.6547,0.7146,9290,13191,8457,2,7259,89,0.195,0
no-covers,150,131,131,0.9133333333333333,0.8573705468757647,0.9486533114304411,0.6641221374045801,0.5795908939587655,0.7393017919779187,0.04580152671755725,0.9133,,0.8,0.8733,0.64,100,0.6281,0.6856,0.7978,0.8702,0.5874,0.6412,0.5944,0.6489,0.5944,0.6489,0.7902,0.8626,0.6503,0.7099,0.2214,0.2417,0.6573,0.7176,0.8042,0.8779,0.6643,0.7252,0.1357,0.1481,0.6713,0.7328,0.8042,0.8779,0.6643,0.7252,0.0678,0.074,0.6713,0.7328,0.8042,0.8779,0.6643,0.7252,0.0339,0.037,0.6713,0.7328,0.8252,0.8931,0.6993,0.7634,0.0143,0.0156,0.7063,0.771,0.8252,0.8931,0.7413,0.8092,0.0076,0.0082,0.7483,0.8168,0.8462,0.9008,0.633,0.691,5548,8172,4873,3,7598,302,0.235,0
no-rerank,150,131,131,0.9,0.8415639255193983,0.9384591631640268,0.6183206106870229,0.5328829804383026,0.6970163977951209,0.05343511450381679,0.8933,,0.74,0.8733,0.6,100,0.4758,0.5194,0.7089,0.7731,0.4021,0.4389,0.4056,0.4427,0.4056,0.4427,0.6364,0.6947,0.479,0.5229,0.1608,0.1756,0.4825,0.5267,0.7692,0.8397,0.549,0.5992,0.1119,0.1221,0.5524,0.6031,0.7972,0.8702,0.6329,0.6908,0.0643,0.0702,0.6364,0.6947,0.8112,0.8855,0.6923,0.7557,0.0353,0.0385,0.6993,0.7634,0.8182,0.8855,0.7448,0.813,0.0152,0.0166,0.7483,0.8168,0.8322,0.8931,0.7797,0.8511,0.008,0.0087,0.7832,0.855,0.8322,0.8931,0.5065,0.5529,6851,13262,6128,2,4250,262,0.145,0
