method,n,n_retrievable,accuracy,citation_accuracy,citation_gap_closed,recall@10*,mrr*,ndcg@10*,gold_in_context_rate,errors
oracle,150,131,0.9466666666666667,0.7709923664122137,1,1,1,1,0.8733,0
full-hybrid,150,131,0.9666666666666667,0.7480916030534351,0.9063,0.855,0.7983,0.808,0.7467,0
dense-surro-rrf,150,131,0.9866666666666667,0.7557251908396947,0.9375,0.8244,0.6651,0.7006,0.7267,0
triad,150,131,0.9666666666666667,0.7633587786259542,0.9688,0.8244,0.6327,0.6732,0.72,0
rrf,150,131,0.9733333333333334,0.7557251908396947,0.9375,0.813,0.7176,0.738,0.7133,0
full,150,131,0.94,0.7099236641221374,0.75,0.8015,0.757,0.7643,0.7067,0
bm25-raw,150,131,0.9666666666666667,0.7404580152671756,0.875,0.7901,0.6877,0.7083,0.68,0
bm25-lemma,150,131,0.9733333333333334,0.732824427480916,0.8438,0.7824,0.6827,0.7031,0.68,0
no-concepts,150,131,0.9066666666666666,0.6870229007633588,0.6563,0.7595,0.7168,0.724,0.6667,0
no-analysis,150,131,0.92,0.6793893129770993,0.625,0.7519,0.7062,0.7146,0.66,0
dense-prf,150,131,0.96,0.7022900763358778,0.7187,0.7443,0.5717,0.6085,0.6533,0
dense-rephrased,150,131,0.9466666666666667,0.7251908396946565,0.8125,0.7405,0.596,0.6292,0.6533,0
bm25-surrogate,150,131,0.94,0.6946564885496184,0.6875,0.7328,0.5845,0.6133,0.6467,0
no-covers,150,131,0.9133333333333333,0.6641221374045801,0.5625,0.7252,0.6856,0.691,0.64,0
dense,150,131,0.94,0.6793893129770993,0.625,0.7137,0.6107,0.6337,0.6267,0
bm25-expanded,150,131,0.94,0.6717557251908397,0.5938,0.7023,0.5922,0.6134,0.6133,0
no-rerank,150,131,0.9,0.6183206106870229,0.375,0.6908,0.5194,0.5529,0.6,0
dense-surro-rescore,150,131,0.92,0.648854961832061,0.5,0.6679,0.4947,0.5328,0.58,0
oracle-doc,150,131,0.8066666666666666,0.4198473282442748,-0.4375,0.1145,0.0338,0.0445,0.0933,0
closed-book,150,131,0.9266666666666666,0.5267175572519084,0,0,0,0,0,0
random,150,131,0.7466666666666667,0.2824427480916031,-1,0,0,0,0,0
