method,n,n_retrievable,n_citation_scored,accuracy,accuracy_ci_low,accuracy_ci_high,citation_accuracy,citation_ci_low,citation_ci_high,citation_unparsed_rate,citations_per_answer,act_scope_hit_rate,grounded_rate,gold_in_corpus_rate,gold_in_context_rate,median_depth_returned,mrr,mrr*,mrr_doc,mrr_doc*,recall@1,recall@1*,precision@1,precision@1*,hit@1,hit@1*,doc_hit@1,doc_hit@1*,recall@3,recall@3*,precision@3,precision@3*,hit@3,hit@3*,doc_hit@3,doc_hit@3*,recall@5,recall@5*,precision@5,precision@5*,hit@5,hit@5*,doc_hit@5,doc_hit@5*,recall@10,recall@10*,precision@10,precision@10*,hit@10,hit@10*,doc_hit@10,doc_hit@10*,recall@20,recall@20*,precision@20,precision@20*,hit@20,hit@20*,doc_hit@20,doc_hit@20*,recall@50,recall@50*,precision@50,precision@50*,hit@50,hit@50*,doc_hit@50,doc_hit@50*,recall@100,recall@100*,precision@100,precision@100*,hit@100,hit@100*,doc_hit@100,doc_hit@100*,ndcg@10,ndcg@10*,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q,errors,citation_gap_closed
oracle,150,131,131,0.9466666666666667,0.8982949952532904,0.9727307871098675,0.7709923664122137,0.6919287457582937,0.8346149914859987,0.10687022900763359,0.9067,,0.8733,0.8733,0.8733,1,0.9161,1,0.9161,1,0.9056,0.9885,0.9161,1,0.9161,1,0.9161,1,0.9161,1,0.3124,0.341,0.9161,1,0.9161,1,0.9161,1,0.1874,0.2046,0.9161,1,0.9161,1,0.9161,1,0.0937,0.1023,0.9161,1,0.9161,1,0.9161,1,0.0469,0.0511,0.9161,1,0.9161,1,0.9161,1,0.0187,0.0205,0.9161,1,0.9161,1,0.9161,1,0.0094,0.0102,0.9161,1,0.9161,1,0.9161,1,632,881,0,1,660,47,0.024,0,1
full-hybrid,150,131,131,0.9666666666666667,0.9243471574929044,0.9856797793044249,0.7480916030534351,0.6674106224590479,0.8146364609336143,0.022900763358778626,0.96,,0.92,0.8733,0.7467,100,0.7313,0.7983,0.8208,0.8935,0.6923,0.7557,0.6993,0.7634,0.6993,0.7634,0.8182,0.8931,0.7378,0.8053,0.2494,0.2723,0.7483,0.8168,0.8182,0.8931,0.7762,0.8473,0.158,0.1725,0.7832,0.855,0.8252,0.8931,0.7832,0.855,0.0797,0.087,0.7902,0.8626,0.8322,0.8931,0.7832,0.855,0.0399,0.0435,0.7902,0.8626,0.8322,0.8931,0.7937,0.8664,0.0162,0.0177,0.7972,0.8702,0.8531,0.9084,0.8042,0.8779,0.0083,0.009,0.8042,0.8779,0.8531,0.9084,0.7402,0.808,7596,13982,6917,3,7467,301,0.232,0,0.9063
dense-surro-rrf,150,131,131,0.9866666666666667,0.9526921436197237,0.9963359476117767,0.7557251908396947,0.6755533419055781,0.8213259594376275,0.022900763358778626,0.9667,,0.8933,0.8733,0.7267,100,0.6093,0.6651,0.7657,0.8272,0.5105,0.5573,0.5175,0.5649,0.5175,0.5649,0.7203,0.7786,0.6958,0.7595,0.2354,0.257,0.6993,0.7634,0.8112,0.8779,0.7203,0.7863,0.1469,0.1603,0.7273,0.7939,0.8182,0.8855,0.7552,0.8244,0.0769,0.084,0.7622,0.8321,0.8182,0.8855,0.7692,0.8397,0.0392,0.0427,0.7762,0.8473,0.8322,0.8931,0.7937,0.8664,0.0162,0.0177,0.7972,0.8702,0.8462,0.9008,0.8007,0.874,0.0082,0.0089,0.8042,0.8779,0.8531,0.9084,0.6418,0.7006,731,1129,42,1,3955,50,0.106,0,0.9375
triad,150,131,131,0.9666666666666667,0.9243471574929044,0.9856797793044249,0.7633587786259542,0.6837257351126099,0.8279857841811392,0.015267175572519083,0.96,1,0.92,0.8733,0.72,100,0.5796,0.6327,0.8278,0.8958,0.4825,0.5267,0.4895,0.5344,0.4895,0.5344,0.8182,0.8855,0.6084,0.6641,0.2051,0.2239,0.6154,0.6718,0.8392,0.9084,0.6853,0.7481,0.1399,0.1527,0.6923,0.7557,0.8392,0.9084,0.7552,0.8244,0.0769,0.084,0.7622,0.8321,0.8392,0.9084,0.7902,0.8626,0.0402,0.0439,0.7972,0.8702,0.8392,0.9084,0.8007,0.874,0.0164,0.0179,0.8042,0.8779,0.8392,0.9084,0.8077,0.8817,0.0083,0.009,0.8112,0.8855,0.8601,0.916,0.6167,0.6732,795,1085,109,1,4030,49,0.108,0,0.9688
rrf,150,131,131,0.9733333333333334,0.9334450938998244,0.9895822277088953,0.7557251908396947,0.6755533419055781,0.8213259594376275,0.022900763358778626,0.9667,,0.92,0.8733,0.7133,100,0.6574,0.7176,0.7831,0.8469,0.5979,0.6527,0.6014,0.6565,0.6014,0.6565,0.7552,0.8168,0.6923,0.7557,0.2331,0.2545,0.6993,0.7634,0.8112,0.8779,0.7238,0.7901,0.1469,0.1603,0.7273,0.7939,0.8182,0.8855,0.7448,0.813,0.0755,0.0824,0.7483,0.8168,0.8252,0.8931,0.7552,0.8244,0.0385,0.042,0.7552,0.8244,0.8252,0.8931,0.7762,0.8473,0.0158,0.0173,0.7762,0.8473,0.8601,0.916,0.7832,0.855,0.008,0.0087,0.7832,0.855,0.8601,0.916,0.676,0.738,809,1183,107,1,4283,49,0.114,0,0.9375
full,150,131,131,0.94,0.8899090795570952,0.9681163179946722,0.7099236641221374,0.6271138627153618,0.780772130924583,0.05343511450381679,0.9133,,0.7933,0.8733,0.7067,100,0.6935,0.757,0.8061,0.8782,0.6503,0.7099,0.6573,0.7176,0.6573,0.7176,0.7972,0.8702,0.7203,0.7863,0.2448,0.2672,0.7273,0.7939,0.8112,0.8855,0.7273,0.7939,0.1483,0.1618,0.7343,0.8015,0.8182,0.8855,0.7343,0.8015,0.0748,0.0817,0.7413,0.8092,0.8182,0.8855,0.7343,0.8015,0.0374,0.0408,0.7413,0.8092,0.8182,0.8855,0.7448,0.813,0.0152,0.0166,0.7483,0.8168,0.8322,0.8931,0.7797,0.8511,0.008,0.0087,0.7832,0.855,0.8322,0.8931,0.7002,0.7643,7928,13872,7190,3,7568,302,0.234,0,0.75
bm25-raw,150,131,131,0.9666666666666667,0.9243471574929044,0.9856797793044249,0.7404580152671756,0.659296706317605,0.8079181591245138,0.022900763358778626,0.9733,,0.88,0.8733,0.68,100,0.63,0.6877,0.7542,0.8151,0.5594,0.6107,0.5664,0.6183,0.5664,0.6183,0.7133,0.771,0.6713,0.7328,0.2261,0.2468,0.6783,0.7405,0.7832,0.8473,0.6958,0.7595,0.1413,0.1542,0.6993,0.7634,0.7902,0.855,0.7238,0.7901,0.0734,0.0802,0.7273,0.7939,0.8112,0.8779,0.7378,0.8053,0.0374,0.0408,0.7413,0.8092,0.8252,0.8931,0.7587,0.8282,0.0154,0.0168,0.7622,0.8321,0.8531,0.9084,0.7692,0.8397,0.0078,0.0085,0.7692,0.8397,0.8531,0.9084,0.6488,0.7083,709,983,24,1,4481,50,0.12,0,0.875
bm25-lemma,150,131,131,0.9733333333333334,0.9334450938998244,0.9895822277088953,0.732824427480916,0.6512107893021125,0.8011718581894627,0.022900763358778626,0.9733,,0.88,0.8733,0.68,100,0.6254,0.6827,0.7377,0.797,0.5524,0.6031,0.5594,0.6107,0.5594,0.6107,0.6783,0.7328,0.6713,0.7328,0.2261,0.2468,0.6783,0.7405,0.7972,0.8626,0.6923,0.7557,0.1399,0.1527,0.6993,0.7634,0.7972,0.8626,0.7168,0.7824,0.0727,0.0794,0.7203,0.7863,0.8042,0.8702,0.7308,0.7977,0.0371,0.0405,0.7343,0.8015,0.8182,0.8779,0.7378,0.8053,0.015,0.0163,0.7413,0.8092,0.8462,0.9008,0.7552,0.8244,0.0077,0.0084,0.7552,0.8244,0.8601,0.916,0.6441,0.7031,723,1037,42,1,4500,50,0.12,0,0.8438
no-concepts,150,131,131,0.9066666666666666,0.8494348221544131,0.9435886513404022,0.6870229007633588,0.6032451962760919,0.7601441435122228,0.07633587786259542,0.8867,,0.74,0.8733,0.6667,100,0.6566,0.7168,0.7993,0.8713,0.6189,0.6756,0.6294,0.687,0.6294,0.687,0.7972,0.8702,0.6678,0.729,0.2284,0.2494,0.6713,0.7328,0.7972,0.8702,0.6888,0.7519,0.1413,0.1542,0.6923,0.7557,0.7972,0.8702,0.6958,0.7595,0.0713,0.0779,0.6993,0.7634,0.8112,0.8779,0.7028,0.7672,0.036,0.0393,0.7063,0.771,0.8112,0.8779,0.7098,0.7748,0.0145,0.0159,0.7133,0.7786,0.8182,0.8779,0.7587,0.8282,0.0078,0.0085,0.7622,0.8321,0.8322,0.8855,0.6633,0.724,6939,12209,6245,3,7550,300,0.234,0,0.6563
no-analysis,150,131,131,0.92,0.8653774250568133,0.9536468180607831,0.6793893129770993,0.5953372121469508,0.7532199096908203,0.08396946564885496,0.88,,0.7467,0.8733,0.66,100,0.6469,0.7062,0.8126,0.8858,0.6084,0.6641,0.6154,0.6718,0.6154,0.6718,0.8042,0.8779,0.6748,0.7366,0.2284,0.2494,0.6783,0.7405,0.8182,0.8931,0.6818,0.7443,0.1385,0.1511,0.6853,0.7481,0.8182,0.8931,0.6888,0.7519,0.0699,0.0763,0.6923,0.7557,0.8252,0.8931,0.6888,0.7519,0.035,0.0382,0.6923,0.7557,0.8252,0.8931,0.7098,0.7748,0.0145,0.0159,0.7133,0.7786,0.8322,0.8931,0.7378,0.8053,0.0076,0.0082,0.7413,0.8092,0.8601,0.916,0.6547,0.7146,9290,13191,8457,2,7259,89,0.195,0,0.625
dense-prf,150,131,131,0.96,0.9154854608728422,0.9815410911130965,0.7022900763358778,0.6191330278710727,0.7739207478183286,0.03816793893129771,0.9533,,0.8533,0.8733,0.6533,100,0.5237,0.5717,0.7105,0.7677,0.4301,0.4695,0.4336,0.4733,0.4336,0.4733,0.6643,0.7176,0.5944,0.6489,0.2005,0.2188,0.6014,0.6565,0.7413,0.8015,0.6434,0.7023,0.1301,0.142,0.6503,0.7099,0.7762,0.8397,0.6818,0.7443,0.0692,0.0756,0.6853,0.7481,0.7832,0.8473,0.7238,0.7901,0.0367,0.0401,0.7273,0.7939,0.7902,0.855,0.7378,0.8053,0.0151,0.0165,0.7413,0.8092,0.8112,0.8702,0.7657,0.8359,0.0078,0.0085,0.7692,0.8397,0.8182,0.8779,0.5575,0.6085,714,961,51,1,3877,49,0.104,0,0.7187
dense-rephrased,150,131,131,0.9466666666666667,0.8982949952532904,0.9727307871098675,0.7251908396946565,0.6431521274281902,0.7943983021128417,0.03816793893129771,0.9533,,0.8667,0.8733,0.6533,34,0.546,0.596,0.7477,0.8085,0.4685,0.5115,0.4685,0.5115,0.4685,0.5115,0.7273,0.7863,0.5944,0.6489,0.2005,0.2188,0.6014,0.6565,0.7622,0.8244,0.6469,0.7061,0.1315,0.1435,0.6503,0.7099,0.7692,0.8321,0.6783,0.7405,0.0692,0.0756,0.6853,0.7481,0.7762,0.8397,0.7098,0.7748,0.0364,0.0397,0.7133,0.7786,0.7762,0.8397,0.7238,0.7901,0.0148,0.0162,0.7273,0.7939,0.7762,0.8397,0.7238,0.7901,0.0074,0.0081,0.7273,0.7939,0.7762,0.8397,0.5764,0.6292,1800,2173,1120,2,4672,263,0.156,0,0.8125
bm25-surrogate,150,131,131,0.94,0.8899090795570952,0.9681163179946722,0.6946564885496184,0.6111769763005396,0.7670445814383184,0.022900763358778626,0.9533,,0.72,0.8733,0.6467,100,0.5355,0.5845,0.7607,0.8207,0.4441,0.4847,0.4476,0.4885,0.4476,0.4885,0.7203,0.7786,0.5664,0.6183,0.1935,0.2112,0.5734,0.626,0.7902,0.855,0.6294,0.687,0.1287,0.1405,0.6364,0.6947,0.8042,0.8626,0.6713,0.7328,0.0685,0.0748,0.6783,0.7405,0.8252,0.8855,0.7483,0.8168,0.0381,0.0416,0.7552,0.8244,0.8392,0.8931,0.7622,0.8321,0.0155,0.0169,0.7692,0.8397,0.8392,0.8931,0.7832,0.855,0.008,0.0087,0.7902,0.8626,0.8462,0.9008,0.5618,0.6133,671,980,10,1,3660,50,0.099,0,0.6875
no-covers,150,131,131,0.9133333333333333,0.8573705468757647,0.9486533114304411,0.6641221374045801,0.5795908939587655,0.7393017919779187,0.04580152671755725,0.9133,,0.8,0.8733,0.64,100,0.6281,0.6856,0.7978,0.8702,0.5874,0.6412,0.5944,0.6489,0.5944,0.6489,0.7902,0.8626,0.6503,0.7099,0.2214,0.2417,0.6573,0.7176,0.8042,0.8779,0.6643,0.7252,0.1357,0.1481,0.6713,0.7328,0.8042,0.8779,0.6643,0.7252,0.0678,0.074,0.6713,0.7328,0.8042,0.8779,0.6643,0.7252,0.0339,0.037,0.6713,0.7328,0.8252,0.8931,0.6993,0.7634,0.0143,0.0156,0.7063,0.771,0.8252,0.8931,0.7413,0.8092,0.0076,0.0082,0.7483,0.8168,0.8462,0.9008,0.633,0.691,5548,8172,4873,3,7598,302,0.235,0,0.5625
