method,n,n_retrievable,accuracy,citation_accuracy,citation_gap_closed,recall@10*,mrr*,ndcg@10*,gold_in_context_rate,errors
oracle,150,131,0.9466666666666667,0.7709923664122137,1,1,1,1,0.8733,0
oracle-doc,150,131,0.8066666666666666,0.4198473282442748,-0.4375,0.1145,0.0338,0.0445,0.0933,0
closed-book,150,131,0.9266666666666666,0.5267175572519084,0,0,0,0,0,0
random,150,131,0.7466666666666667,0.2824427480916031,-1,0,0,0,0,0
