method,n,n_retrievable,n_citation_scored,accuracy,accuracy_ci_low,accuracy_ci_high,citation_accuracy,citation_ci_low,citation_ci_high,citation_unparsed_rate,citations_per_answer,act_scope_hit_rate,grounded_rate,gold_in_corpus_rate,gold_in_context_rate,median_depth_returned,mrr,mrr*,mrr_doc,mrr_doc*,recall@1,recall@1*,precision@1,precision@1*,hit@1,hit@1*,doc_hit@1,doc_hit@1*,recall@3,recall@3*,precision@3,precision@3*,hit@3,hit@3*,doc_hit@3,doc_hit@3*,recall@5,recall@5*,precision@5,precision@5*,hit@5,hit@5*,doc_hit@5,doc_hit@5*,recall@10,recall@10*,precision@10,precision@10*,hit@10,hit@10*,doc_hit@10,doc_hit@10*,recall@20,recall@20*,precision@20,precision@20*,hit@20,hit@20*,doc_hit@20,doc_hit@20*,recall@50,recall@50*,precision@50,precision@50*,hit@50,hit@50*,doc_hit@50,doc_hit@50*,recall@100,recall@100*,precision@100,precision@100*,hit@100,hit@100*,doc_hit@100,doc_hit@100*,ndcg@10,ndcg@10*,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q,errors,citation_gap_closed
oracle,150,131,131,0.9466666666666667,0.8982949952532904,0.9727307871098675,0.7709923664122137,0.6919287457582937,0.8346149914859987,0.10687022900763359,0.9067,,0.8733,0.8733,0.8733,1,0.9161,1,0.9161,1,0.9056,0.9885,0.9161,1,0.9161,1,0.9161,1,0.9161,1,0.3124,0.341,0.9161,1,0.9161,1,0.9161,1,0.1874,0.2046,0.9161,1,0.9161,1,0.9161,1,0.0937,0.1023,0.9161,1,0.9161,1,0.9161,1,0.0469,0.0511,0.9161,1,0.9161,1,0.9161,1,0.0187,0.0205,0.9161,1,0.9161,1,0.9161,1,0.0094,0.0102,0.9161,1,0.9161,1,0.9161,1,632,881,0,1,660,47,0.024,0,1
oracle-doc,150,131,131,0.8066666666666666,0.7361357242542107,0.8618819770697485,0.4198473282442748,0.33879650074096535,0.5054652107783283,0.16793893129770993,0.7733,,0.1333,0.8733,0.0933,100,0.0309,0.0338,1,1,0,0,0,0,0,0,1,1,0.021,0.0229,0.007,0.0076,0.021,0.0229,1,1,0.042,0.0458,0.0084,0.0092,0.042,0.0458,1,1,0.1049,0.1145,0.0105,0.0115,0.1049,0.1145,1,1,0.1678,0.1832,0.0084,0.0092,0.1678,0.1832,1,1,0.2797,0.3053,0.0057,0.0063,0.2867,0.313,1,1,0.3811,0.416,0.0039,0.0043,0.3846,0.4198,1,1,0.0407,0.0445,665,819,3,1,3744,46,0.101,0,-0.4375
closed-book,150,131,131,0.9266666666666666,0.873463014734016,0.9585616131949707,0.5267175572519084,0.44167901974695567,0.6102337430799464,0,1,,0.9733,0.8733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,870,0,1,292,45,0.014,0,0
random,150,131,131,0.7466666666666667,0.6715044398939715,0.809509798127474,0.2824427480916031,0.2124018199725307,0.3648799684369809,0.5954198473282443,0.38,,0,0.8733,0,100,0,0,0.0354,0.0384,0,0,0,0,0,0,0.014,0.0153,0,0,0,0,0,0,0.028,0.0305,0,0,0,0,0,0,0.035,0.0382,0,0,0,0,0,0,0.0699,0.0763,0,0,0,0,0,0,0.1329,0.145,0,0,0,0,0,0,0.2657,0.2824,0,0,0,0,0,0,0.4196,0.4504,0,0,670,966,0,1,4881,40,0.128,0,-1
